"score" "group"
7.19103616470661 "a"
8.20063072592557 "a"
7.27097961304651 "a"
7.1396617013524 "a"
5.89971767738508 "a"
6.68802433385024 "a"
6.79747179475173 "a"
7.36967730075406 "a"
6.79904851202507 "a"
8.7474569799862 "a"
9.31449317528685 "a"
6.41618888298464 "a"
7.11319929052698 "a"
8.41677673143168 "a"
9.63722262460576 "a"
7.80996845178845 "a"
8.47016159905478 "a"
7.7367863927895 "a"
6.68233596382943 "a"
6.81346285917586 "a"
7.73016521161828 "a"
7.20937714149109 "a"
7.02382062837484 "a"
9.11470041207811 "a"
8.37044027363542 "a"
6.55946616324447 "a"
8.3274484550731 "a"
6.25024652014871 "a"
7.50047002461536 "a"
7.59641849407052 "a"
5.62293617010665 "a"
6.625200571253 "a"
6.57136839955754 "a"
7.77202075183529 "a"
5.91262544971679 "a"
6.68800334211468 "a"
10.9540084783917 "a"
7.30226206126347 "a"
6.81818572739663 "a"
9.15349292624638 "a"
6.42514182061146 "a"
6.60064301072748 "a"
6.8339002450282 "a"
7.02251422035664 "a"
8.94664210955273 "a"
6.82570299117173 "a"
5.98640927409055 "a"
6.66885615776417 "a"
6.17362966393992 "a"
7.14767706002711 "a"
6.37711792512609 "b"
7.46209454926408 "b"
8.02374064831997 "b"
5.50086497503123 "b"
8.05236206470498 "b"
7.69902145747555 "b"
8.04834388575924 "b"
8.36271024328378 "b"
9.55388921790052 "b"
7.828547753268 "b"
7.09667431508684 "b"
8.48084003243408 "b"
8.33411028368215 "b"
6.64336418970877 "b"
9.27833275661928 "b"
8.09135189577005 "b"
6.77314682439737 "b"
7.20358980502333 "b"
6.43823456805036 "b"
4.942797097857 "b"
6.91895466819177 "b"
9.5278811758316 "b"
7.13677911778152 "b"
7.21311262584518 "b"
7.94984121087582 "b"
4.95733753089947 "b"
7.13387153496318 "b"
4.61918726918374 "b"
6.3405511981036 "b"
8.82306424553489 "b"
7.383795559994 "b"
7.92590374593517 "b"
6.94375546605026 "b"
7.41793542297212 "b"
4.83373391787598 "b"
7.83501731642293 "b"
8.3909761033801 "b"
7.29676819011397 "b"
5.58917321009698 "b"
6.50217226330432 "b"
6.99848133199957 "b"
5.71925690571133 "b"
7.1448001093298 "b"
8.184452568398 "b"
6.93849103450022 "b"
6.82305431301198 "b"
6.00892357381094 "b"
8.28540578866214 "b"
8.38012168525782 "b"
5.28663293745971 "b"
