"man" "ocul"
291.016278446741 201.114469243771
321.906797714255 249.484416519487
289.613985382939 190.517751531249
306.073086445982 220.852488933606
351.160006825405 239.382905650776
288.002030252932 178.595230828967
292.42136682737 173.050913907291
326.667129635357 217.07790126568
309.622110472526 182.412990471854
270.448095189752 173.036258424905
324.730545888181 220.295451002278
289.323678932749 193.755004426094
308.279105059959 217.345368642958
267.824902278679 177.119857737087
308.269954770933 196.121579006056
280.56832455317 208.356427930716
313.414225546913 216.196115198027
313.230887886864 225.420179511541
296.566650110591 185.76535233806
325.798321954431 231.620365131211
320.83866315444 226.075488164743
293.198190906834 221.729239367893
302.870803633492 210.470011839464
332.363890852134 241.702533772484
294.066124020664 181.640054426342
291.195968413616 184.262146637226
278.418068483326 157.87858889006
336.029396123946 264.087107783245
287.557894849636 190.94618242429
319.566358720821 226.352691879181
325.203710265344 227.74588326782
295.863354401578 191.292139146417
311.964307547195 220.787919614702
299.096103041906 184.014301990182
281.379297010386 206.982201782751
303.667048305471 194.724243471982
287.986823469252 201.228980824675
273.768164098708 143.655453005998
265.718506286718 153.975267644914
289.219149183645 168.710254609142
308.497057904244 185.013336719142
317.488296281614 196.665090014235
267.255271759225 154.627947434705
339.797796548458 230.25917936009
295.456469907664 190.757555674477
289.337227078351 188.274774482198
346.232507933426 203.652047887026
304.13195581594 213.1374108996
307.303413170007 203.004217612496
340.577545121382 228.323115379083
